tipo;denominacion;orden;estado;codigo;tipo_nombre;updated_at;cod_contable
NC;Anulación de la operación;2;A;1;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Anulación por error en el RUC;3;A;2;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Corrección por error en la descripción;4;A;3;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Descuento global;5;A;4;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Descuento por ítem;6;A;5;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Devolución total;7;A;6;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Devolución por ítem;8;A;7;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Bonificación;9;A;8;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Disminución en el valor;10;A;9;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
NC;Otros;11;A;10;TIPO DE NOTA DE CRÉDITO;16/03/2020 14:27;
ND;Intereses por mora;2;A;1;TIPO DE NOTA DE DÉBITO;16/03/2020 14:27;
ND;Aumento en el valor;3;A;2;TIPO DE NOTA DE DÉBITO;16/03/2020 14:27;
ND;Penalidades/ otros conceptos;4;A;3;TIPO DE NOTA DE DÉBITO;16/03/2020 14:27;
GUIA;;1;A;;;16/03/2020 14:27;
GUIA;Guía de Remisión Remitente;2;A;9;TIPO DE GUIAS;16/03/2020 14:27;
GUIA;Guía de Remisión Transportista;3;A;31;TIPO DE GUIAS;16/03/2020 14:27;
GUIA;Guía de Remisión Remitente Complementaria;4;A;71;TIPO DE GUIAS;16/03/2020 14:27;
GUIA;Guía de Remisión Transportista Complementaria;5;A;72;TIPO DE GUIAS;16/03/2020 14:27;
DOC_RELA;;1;A;;;16/03/2020 14:27;
DOC_RELA;Ticket de Salida - ENAPU;2;A;4;DOCUMENTO RELACIONADO;16/03/2020 14:27;
DOC_RELA;Código SCOP;3;A;5;DOCUMENTO RELACIONADO;16/03/2020 14:27;
DOC_RELA;Otros;4;A;99;DOCUMENTO RELACIONADO;16/03/2020 14:27;
DOC_RELA;Factura - emitida para corregir error en el RUC;5;A;1;DOCUMENTO RELACIONADO;16/03/2020 14:27;
DOC_RELA;Factura - emitida por anticipos;6;A;2;DOCUMENTO RELACIONADO;16/03/2020 14:27;
DOC_RELA;Boleta de Venta - emitida por anticipos;7;A;3;DOCUMENTO RELACIONADO;16/03/2020 14:27;
TIPO_OPE;Venta Interna;2;A;1;TIPO DE OPERACION;16/03/2020 14:27;
TIPO_OPE;Exportación;3;A;2;TIPO DE OPERACION;16/03/2020 14:27;
