NRO_OD|FECHA_EMISION_OD|NRO_OC|RUT_RETAILER|RAZON_SOCIAL|FECHA_EMISION|FECHA_DESCARGA_OD|ESTADO_OC|TIPO_OC|CODIGO_PROVEEDOR|CODIGO_LUGAR_ENTREGA|DESCRIPCION_LUGAR_ENTREGA|DIRECCION_LUGAR_ENTREGA|FECHA_ESPERADA_OD|FECHA_VENCIMIENTO|UPC|SKU|DESCRIPCION_LARGA|NRO_ITEM|NRO_LOCAL|LOCAL|UNIDADES|EMPAQUES|PASILLO|LINEAL|METRO
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880045|4296990        |PTA INT DECOR BL RT 80CM|1|66|Sodimac Chincha|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880052|4297008        |PTA INT DECOR BL RT 85CM|2|46|Sodimac Chiclayo III|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880007|4297024        |PTA INT DECOR BL RT 60CM|3|12|Sodimac Chiclayo|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880014|4297032        |PTA INT DECOR BL RT 65CM|4|49|Sodimac Cuzco|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|5|31|Sodimac Sullana|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|5|23|Sodimac Chimbote|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|5|11|Sodimac Trujillo|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880083|4297059        |COM INT OPERA BL 75MCO BIS|5|20|Sodimac Piura|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880151|4297067        |COM INT SELVA BL 70 MCO|6|66|Sodimac Chincha|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880182|4297075        |COM INT SELVA BL 85MCO|7|12|Sodimac Chiclayo|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880168|4297083        |COM INT SELVA BL 75 MCO|8|12|Sodimac Chiclayo|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880168|4297083        |COM INT SELVA BL 75 MCO|8|66|Sodimac Chincha|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|9|12|Sodimac Chiclayo|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880076|4297091        |COM INT OPERA BL 70MCO BIS|9|11|Sodimac Trujillo|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|10|49|Sodimac Cuzco|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|10|16|Sodimac Ica Mall|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|10|12|Sodimac Chiclayo|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880069|4297113        |COM INT OPERA BL 65MCO BIS|10|64|Maestro Cajamarca|8|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880090|4297121        |COM INT OPERA BL 80MCO BIS|11|23|Sodimac Chimbote|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880090|4297121        |COM INT OPERA BL 80MCO BIS|11|40|Maestro Arequipa|6|1|||
4498972|24/03/2025 21:43:27|4498972|2048678599-4|FORESTAL PAMA|24/03/2025|25/03/2025|Publicada|Cross Docking       |1652      |101|CONTRANS CALLAO|Av. ExFundo Oquendo Mz. H-L Ex Fundo    |02/04/2025|02/04/2025|7750497880090|4297121        |COM INT OPERA BL 80MCO BIS|11|20|Sodimac Piura|6|1|||
